Aderhaut,n
Aderlass,n
Adessiv (page does not exist),
Adhān (page does not exist),
Adhäsion,n
ad hoc,
Adi,proper
adiabatisch,adj
Adieu (page does not exist),
Ädil (page does not exist),
Adipostas (page does not exist),
Adjektiv,n
adjektivisch (page does not exist),
adjektivisches Satzglied (page does not exist),
Adjektivphrase (page does not exist),
adjungiert (page does not exist),
Adjutant,n
Adler,n
Adler- (page does not exist),
Adlerbussard,n
Adlerfarne (page does not exist),
Adlerfisch (page does not exist),
adlerhaft (page does not exist),
Adlerhorst (page does not exist),
Adlerjunges,n
adlig,
Adlige (page does not exist),
Adliger,
Administration,n
administrativ,adj
Administrator,n
administrieren (page does not exist),
Admiral,n
Admiralität (page does not exist),
Admiralsamt (page does not exist),
Admiralswürde (page does not exist),
ad nauseam,
Adolar,proper
Adoleszenz,n
Adolf,proper
Adolfine,proper
Adolph,proper
adoptieren,v
Adoptierte (page does not exist),
Adoptierter (page does not exist),
Adoption,n
Adoptivvater (page does not exist),
Adposition (page does not exist),
Adrenalin,n
adrenerg (page does not exist),
Adressabstand (page does not exist),
Adressbuch,
Adresse,n
adressieren,v
Adressiermaschine (page does not exist),
Adressierung (page does not exist),
Adresszeile (page does not exist),
adrett,adj
Adria,proper
Adrian,proper
Adriatisches Meer,proper
Adschika (page does not exist),
adsorbieren,v
Adstrat (page does not exist),
Adular (page does not exist),
Adulf,proper
A-dur,n
Advent,n
Adventist,
Adventistin (page does not exist),
Adventskalender,n
Adventskranz,n
Adverb,n
Adverbgruppe (page does not exist),
Adverbial- (page does not exist),
adverbial,
Adverbialbestimmung,n
adverbiales Satzglied (page does not exist),
Adverbialpartizip (page does not exist),
Adverbialphrase (page does not exist),
adverbiell,
Adverbphrase (page does not exist),
Advocatus Diaboli,n
Advokat,n
Adygeja,
Adzukibohne (page does not exist),
Aerobic,n
Aerodynamik,n
aerodynamisch,adj
aerologie,
aeronautisch (page does not exist),
Aerosol,
Aerostatik (page does not exist),
Afade,
Afar,
Affäre,n
Affe,n
Affekt,n
Affenbrot,n
Affenbrotbaum,n
Affenente,n
Affenpinscher,n
Affenzahn,n
afferent,
affig,
affirmativer Satz (page does not exist),
Affix,n
Affixoid (page does not exist),
Affodil (page does not exist),
Affront,n
Afghane,n
Afghanin,
Afghanisch,proper
afghanisch,adj
Afghanischer Windhund,n
Afghanistan,proper
Afrika,proper
Afrikaans,proper
Afrika-Eurasien,proper
Afrikander,
Afrikaner,n
Afrikanerin,n
afrikanisch,adj
Afrikanischer Wildhund (page does not exist),
Afrikanische Union (page does not exist),
Afrikanische Wildkatze (page does not exist),
Afro-Amerikaner (page does not exist),
Afroamerikaner,n
Afro-Amerikanerin (page does not exist),
Afroamerikanerin (page does not exist),
afroamerikanisch,
Afrophobie (page does not exist),
After,n
Aftershave,n
Afterspinne (page does not exist),
AG,init
Ägadischen Inseln (page does not exist),
Ägäis,proper
ägäisch (page does not exist),
Ägäisches Meer,proper
Agar,n
Agatha,proper
Agave,
AGB,init
Agenda,n
Agens,
Agent,n
Agent Provocateur,n
Agentur,n
agglutinierend,
Aggregatzustand,n
Aggression,n
aggressiv,adj
Aggressivität,n
Aggressor,n
Agha,
Ägid,proper
Ägide,n
Ägidius,proper
agieren,v
agil,adj
agile,
Ägis,n
Agitation,n
Agitator,n
Agitprop (page does not exist),
Aglaia,
Aglaja (page does not exist),
agnath,adj
Agnes,proper
Agnostiker,n
Agnostikerin,n
agnostisch,adj
Agnostizismus,n
Agonie,n
Agora,
Agoraphobie,n
Agra,
Agram,
Agrarökonomie (page does not exist),
Agrarrohstoff,n
Agrigent (page does not exist),
Agrikultur,n
Agrimi (page does not exist),
Agrobiologie (page does not exist),
Agronom,
Agronomie,n
Aguascalientes,
Aguja (page does not exist),
Aguti (page does not exist),
Ägypten,n
Ägypter,n
Ägypterin,n
Ägyptisch,proper
ägyptisch,adj
Ägyptisch-Arabisch (page does not exist),
Ägyptologe,n
Ägyptologie,n
Ägyptologin,n
ah,int
äh,int
aha,
Ahab,
Aha-Erlebnis,n
Ahas (page does not exist),
Ahasveros,proper
Ahaus,proper
Ahle,n
Ahlen,proper
Ahlkirsche (page does not exist),
Ahlspieß (page does not exist),
Ahn,n
Ahndung,n
Ahne,
ähneln,v
ahnen,v
Ahnenforscher (page does not exist),
Ahnenforscherin (page does not exist),
Ahnenforschung,n
ahnen lassen (page does not exist),
Ahnentafel,
Ahnin (page does not exist),
ähnlich,adj
Ähnlichkeit,n
Ahnung,n
ahnungslos,
Ahoi (page does not exist),
Ahorn,n
Ahornsirup,n
Ahornzucker (page does not exist),
Ähre,n
Ährenfisch (page does not exist),
AIDS,
Ainu,
Airbag,n
Ais,
Aischylos (page does not exist),
Ais-dur (page does not exist),
Ajatollah,n
AK,abbr
Akademie,n
Akademiker,
Akademikerin (page does not exist),
akademisch,adj
akademischer,
Akademismus (page does not exist),
Akan,
Akanthästhesie (page does not exist),
Akazie,n
Akelei,n
Akinese (page does not exist),
akinetisch (page does not exist),
Akkadier,n
Akkadierin,n
Akkadisch,n
akkadisch,adj
akklimatisieren (page does not exist),
Akklimatisierung (page does not exist),
Akkord,n
Akkordarbeit,
Akkordeon,n
Akkordeonist,
Akkordeonistin (page does not exist),
Akkordeonspieler,n
Akkordeonspielerin,
akkreditieren,v
Akkretionsscheibe,n
Akku,n
akkulturieren (page does not exist),
Akkumulator,
Akkusativ,n
Akkusativ- (page does not exist),
akkusativisch (page does not exist),
Akne,n
Akolyth,n
akquirieren,v
Akquise,n
Akquisition,n
akribisch,adj
Akroasphyxie (page does not exist),
Akrobat,n
Akrobatik,n
Akrobatin,
akrobatisch,
Akromegalie (page does not exist),
Akronym,n
Akropolis,
Akrozyanose,
Akt,n
Akte,n
Aktenstück (page does not exist),
Aktentasche,
Akteur,n
Aktie,n
Aktienbörse (page does not exist),
Aktiengesellschaft,n
Aktienmarkt,
Aktinolith,n
Aktion,n
Aktionär,n
Aktionismus,n
Aktiv,n
aktiv,adj
Aktiva (page does not exist),
aktiver Vulkan (page does not exist),
Aktivieren,
aktivieren,v
Aktivierung,
Aktivismus,n
Aktivist,n
Aktivistin,n
Aktivität,n
Aktivkohle,
aktualisieren,v
Aktualisierung,n
Aktualismus,n
Aktualität (page does not exist),
aktuell,adj
aktuelle Technik (page does not exist),
aktuelle Veranstaltungen (page does not exist),
Akupunktur,n
Akustik,n
Akustiker (page does not exist),
Akustikerin (page does not exist),
Akustikkoppler,n
akustisch,adj
Akut,n
akut,adj
akuter Myokardinfarkt (page does not exist),
AKW,init
Akzent,n
akzentuieren (page does not exist),
akzeptabel,adj
akzeptable,
Akzeptanz,n
akzeptieren,v
akzeptieren Sie Kreditkarten (page does not exist),
akzeptieren Sie US-Dollar (page does not exist),
-al,suffix
à la,prep
alabaster,
Alambic (page does not exist),
Åland,proper
Al-Andalus,
Alanin,n
Alarich (page does not exist),
Alarm,n
alarmieren,v
Alarmismus,n
Alarm schlagen,
Alarmsignal,n
Alarmstimmung (page does not exist),
Alaska,proper
Alaska-Schneeschaf (page does not exist),
Alaun,
Alaunstift (page does not exist),
Alb,n
Alban,
Albaner,n
Albanesisch,n
albanesisch,adj
Albanien,proper
Albanier,n
Albanierin,n
Albanisch,n
albanisch,adj
Albanologie (page does not exist),
Albany,
Albatros,n
Albdruck,
Albe,
Albedo,n
albern,adj
Albert,proper
Alberta,
Albin,proper
Albinismus,n
Albino,n
albino,adj
Albireo,
Albrecht,proper
Albtraum,n
albtraumartig (page does not exist),
albtraumhaft,adj
Albuin,proper
Album,n
Albumin,n
Albwin,proper
Alchemie,n
Alchemist,n
Alchimie,n
Alchimist,n
Alchimisten,n
Aldebaranium (page does not exist),
Aldehyd,n
Al-Dschasira (page does not exist),
Ale,n
Aleatorik,n
aleatorisch,adj
Alemannisch,proper
alemannisch,adj
Aleuten (page does not exist),
Alex,proper
Alexander,proper
Alexander der Große (page does not exist),
Alexandra,proper
Alexandroupolis,
Alexius,
Alfabetisierung (page does not exist),
Alfons,proper
Alfred,proper
Alfvén-Welle (page does not exist),
Alge,n
Algebra,n
Algebraiker (page does not exist),
algebraische Geometrie (page does not exist),
algebraische Gleichung (page does not exist),
algebraische Struktur (page does not exist),
algebraische Zahl (page does not exist),
Algen,
Algenkunde,n
Algerien,proper
Algerier,n
Algerierin,n
algerisch,adj
Algier,proper
Algologie,n
Algometer (page does not exist),
Algorithmus,n
Ali,
alias,
Alibi,n
Alibifrau,n
Alice,proper
Alija,
Alimente,n
Alina,proper
Aline,proper
Alinea,n
Aliquote (page does not exist),
Alk,
Alkalimetall,n
Alkaloid,
Alkan,n
Alkin,n
Alkione (page does not exist),
Alkohol,n
alkoholfrei,adj
alkoholhaltig,adj
Alkoholiker,n
Alkoholikerin,n
alkoholisch,adj
alkoholisches Getränk (page does not exist),
alkoholisiert,adj
Alkoholismus,n
Alkoholkranke,n
Alkoholkranker,
Alkoholkrankheit,
Alkoholprohibition (page does not exist),
Alkoholtester (page does not exist),
Alkoholvergiftung,n
Alkove (page does not exist),
Alkoven,
All,n
all,
Allah,
Allahu akbar,
Allativ (page does not exist),
Allbuch (page does not exist),
alle,pronoun
alle Brücken abbrechen (page does not exist),
Allee,n
alle Eier in einen Korb legen (page does not exist),
Allegorie,n
Allegorik,n
allegorisch,adj adv
allein,adj adv
alleine,
alleinerziehende Mutter (page does not exist),
allein machen (page does not exist),
alleinstehend,adj
Alleinstehende (page does not exist),
Alleinstehender (page does not exist),
alle Jubeljahre,adv
Allel (page does not exist),
Allelopathie (page does not exist),
allem,pronoun
allen,pronoun
allenfalls,adv
Allenstein (page does not exist),
Aller,proper
aller-,prefix
allerdings,adv
alle Rechte vorbehalten (page does not exist),
Allergen,n
Allergie,n
allergisch,adj
Allergologie,
allerhand,adj
Allerheiligen,proper
Allerlei,n
allerlei,adj
Allerleis,n
Allerseelen,proper
alles,pronoun
alles auf eine Karte setzen (page does not exist),
Allesfresser,n
alles Gute (page does not exist),
alles Gute zum Geburtstag,phrase
alles hat sein Ende (page does not exist),
alles in allem,adv
alles in Ordnung,phrase
alles ist erlaubt (page does not exist),
alles klar (page does not exist),
Alleskönner,n
alles schon gemacht (page does not exist),
alle Wege führen nach Rom,proverb
alle zusammen (page does not exist),
alle zwei Monate (page does not exist),
alle zwei Wochen (page does not exist),
allfressend (page does not exist),
allgegenwärtig,
Allgegenwärtigkeit (page does not exist),
allgemein,adj
Allgemeine Relativitätstheorie (page does not exist),
allgemeiner Protest (page does not exist),
allgemeine Unkosten (page does not exist),
Allgemeinheit,n
Allgemeinwissen,n
Allheilmittel,n
Allianz,n
Allicin,
Alligator,n
Alligatoren,n
Alliierte,
Alliierter (page does not exist),
allmächtig,adj
allmählich,adj adv
Allmende (page does not exist),
Allotriophagie,n
allotrop,
Allotropie,n
Allrad (page does not exist),
Allradantrieb,
Alltag,n
alltäglich,adj
Alltägliche (page does not exist),
Alltagsgespräch (page does not exist),
Allüre,n
Allusion,n
allwissend,adj
Allwissenheit,n
allzu,adv
allzuviel,adv
Allzweck (page does not exist),
Alm,n
Alma,proper
Almhütte,n
Almosen,n
Aloe,
Alois,proper
Alp,
Alpaka,n
Alpen,proper
Alpendohle (page does not exist),
Alpenglühen,n
Alpenrose (page does not exist),
Alpenveilchen,n
Alpha,n
Alphabet,n
alphabetisch,adj
Alphabetisierung,n
Alphabetismus,n
Alpha Centauri,
Alpha-Männchen (page does not exist),
alphanumerisch,
Alpha-Teilchen (page does not exist),
Alphorn,n
Alpinismus,n
Alptraum,
alptraumartig (page does not exist),
alptraumhaft,
Al-Qaida (page does not exist),
Alraune,n
als,conj
alsdenn,adv
als Kind annehmen (page does not exist),
also,int adv
als ob,
Alsterwasser (page does not exist),
als unveräußerliches Gut vererben (page does not exist),
als wenn (page does not exist),
Alt,n
alt,adj
Altai,proper
altaisch (page does not exist),
Altar,n
Altarmenisch,n
altarmenisch,adj
Altarraum (page does not exist),
Altbau,n
Altbauwohnung,n
Alte,n
alte,adj
alte Jungfer (page does not exist),
Altenglisch,n
altenglisch,adj
altenglische Sprache (page does not exist),
Alter,n
älter,
Alter Ego,n
alter Gaul (page does not exist),
altern,v
alternativ,
Alternative,
alternieren (page does not exist),
alternierend,adj
alter schützt vor Torheit nicht (page does not exist),
Altersdiskriminierung,n
Alterseinstufung,n
Altersheilkunde,n
Altersheim,n
Altersunterschied,n
Alterszahnheilkunde,n
Altertum,n
Altertumskunde,n
Alterungsprozess,
Alter vor Schönheit (page does not exist),
ältestes Gewerbe der Welt,n
Altes Testament,proper
Alte Welt (page does not exist),
Altfranzösisch,n
altfranzösisch,adj
Altfriesisch,n
altfriesisch,adj
Altgeorgisch,n
altgeorgisch,adj
Altgrad (page does not exist),
Altgriechisch,n
altgriechisch,n
Althochdeutsch,n
Altimeter (page does not exist),
Altirisch,n
altirisch,adj
Altisländisch,n
altisländisch,adj
Altjapanisch,n
altjapanisch,adj
Altkatalanisch,n
altkatalanisch,adj
Altkirchenslawisch,n
altkirchenslawisch,adj
Altkoreanisch,n
altkoreanisch,adj
Altlatein,n
Altlateinisch,n
altlateinisch,adj
Altmaterial,
Altmetall,n
altmodisch,adj
Altmond (page does not exist),
Altniederdeutsch,n
altniederdeutsch,adj
Altniederfränkisch (page does not exist),
Altniederländisch (page does not exist),
Altnordisch,proper
altnordisch,adj
Altnorwegisch,n
altnorwegisch,adj
Altostslawisch,n
altostslawisch,adj
Altpapier (page does not exist),
Altpersisch,n
altpersisch,adj
Altportugiesisch,n
altportugiesisch,adj
Altpreußisch,n
altpreußisch,adj
Altruismus,n
Altruist,n
altruistisch,adj
Altsächsisch,n
altsächsisch,adj
Altschwedisch,n
altschwedisch,adj
Altspanisch,n
altspanisch,adj
Altstadt,n
Altsteinzeit (page does not exist),
Alt-Taste (page does not exist),
alttestamentlich,adj
Altwasser,n
Altweibersommer,n
altweibisch (page does not exist),
Alufolie,
Aluminium,n
Aluminiumfolie,n
Alveolar,n
Alvin,
Alvíssmál,proper
Alwin,proper
Alwina,proper
Alwine,proper
Alzheimer-Krankheit,n
am,contraction
Amalgam,n
amalgamieren (page does not exist),
Amalia,proper
Amalie,proper
am allermeisten (page does not exist),
Amanda,proper
Amarant,
Amaretto,n
Amarinya (page does not exist),
am Arsch der Welt (page does not exist),
Amaryllis,n
Amateur,n
Amateurfunk,
amateurhaft,adj
Amateurin (page does not exist),
Amazonas,
Amazonenameise,n
Amazonien-Tropfenameisenwürger,n
Amber,
Amberbäume (page does not exist),
Amberg,proper
am besten (page does not exist),
Ambiente,n
